ALG	DATA SET	PLEN	IT	EJECTIME	NCOM
BF	BINA.txt	8	20	0.027271	1992134
BF	BINA.txt	8	21	0.026685	1991070
BF	BINA.txt	8	22	0.026784	1994035
BF	BINA.txt	8	23	0.026590	1991542
BF	BINA.txt	8	24	0.026741	1991501
BF	BINA.txt	8	25	0.025845	1993887
BF	BINA.txt	8	26	0.026653	1990662
BF	BINA.txt	8	27	0.026709	1991552
BF	BINA.txt	8	28	0.025889	1993745
BF	BINA.txt	8	29	0.026560	1991857
BF	BINA.txt	8	30	0.025848	1993745
BF	BINA.txt	8	31	0.027286	1992150
BF	BINA.txt	8	32	0.027317	1991841
BF	BINA.txt	8	33	0.025898	1993922
BF	BINA.txt	8	34	0.025850	1994319
BF	BINA.txt	8	35	0.025802	1991178
BF	BINA.txt	8	36	0.026900	1993820
BF	BINA.txt	8	37	0.026658	1991140
BF	BINA.txt	8	38	0.026758	1990078
BF	BINA.txt	8	39	0.026853	1991959
BF	BINA.txt	8	40	0.026905	1991552
BF	BINA.txt	8	41	0.026614	1992452
BF	BINA.txt	8	42	0.027954	1991798
BF	BINA.txt	8	43	0.025874	1994877
BF	BINA.txt	8	44	0.027490	1991784
BF	BINA.txt	8	45	0.026748	1993790
BF	BINA.txt	8	46	0.026670	1991156
BF	BINA.txt	8	47	0.026764	1991698
BF	BINA.txt	8	48	0.026622	1990628
BF	BINA.txt	8	49	0.026715	1990050
BF	BINA.txt	8	50	0.027967	1992039
BF	BINA.txt	8	51	0.026729	1991400
BF	BINA.txt	8	52	0.027318	1992227
BF	BINA.txt	8	53	0.025843	1993887
BF	BINA.txt	8	54	0.027655	1991140
BF	BINA.txt	8	55	0.026933	1994501
BF	BINA.txt	8	56	0.026901	1991668
BF	BINA.txt	8	57	0.026805	1990848
BF	BINA.txt	8	58	0.027037	1992244
BF	BINA.txt	8	59	0.025864	1995102
BF	BINA.txt	8	60	0.027776	1990417
BF	BINA.txt	8	61	0.025872	1994877
BF	BINA.txt	8	62	0.025847	1993924
BF	BINA.txt	8	63	0.025899	1993725
BF	BINA.txt	8	64	0.026870	1992099
BF	BINA.txt	8	65	0.026769	1992362
BF	BINA.txt	8	66	0.026779	1992237
BF	BINA.txt	8	67	0.026762	1991704
BF	BINA.txt	8	68	0.026731	1991853
BF	BINA.txt	8	69	0.026738	1992344
BF	BINA.txt	8	70	0.026863	1992227
BF	BINA.txt	8	71	0.026659	1990848
BF	BINA.txt	8	72	0.027685	1990078
BF	BINA.txt	8	73	0.025840	1993745
BF	BINA.txt	8	74	0.027734	1991542
BF	BINA.txt	8	75	0.028003	1991692
BF	BINA.txt	8	76	0.028011	1992227
BF	BINA.txt	8	77	0.027736	1990589
BF	BINA.txt	8	78	0.027714	1991853
BF	BINA.txt	8	79	0.025842	1993922
BF	BINA.txt	8	80	0.026852	1991552
BF	BINA.txt	8	81	0.026879	1993826
BF	BINA.txt	8	82	0.026770	1991692
BF	BINA.txt	8	83	0.025869	1994696
BF	BINA.txt	8	84	0.026737	1992494
BF	BINA.txt	8	85	0.025770	1991017
BF	BINA.txt	8	86	0.027783	1990589
BF	BINA.txt	8	87	0.026780	1994501
BF	BINA.txt	8	88	0.026713	1991959
BF	BINA.txt	8	89	0.027295	1992391
BF	BINA.txt	8	90	0.027709	1990539
BF	BINA.txt	8	91	0.027956	1992309
BF	BINA.txt	8	92	0.028033	1992095
BF	BINA.txt	8	93	0.028013	1992039
BF	BINA.txt	8	94	0.025831	1991511
BF	BINA.txt	8	95	0.027096	1992099
BF	BINA.txt	8	96	0.026763	1992039
BF	BINA.txt	8	97	0.027367	1992146
BF	BINA.txt	8	98	0.028007	1991371
BF	BINA.txt	8	99	0.025837	1994560
BF	BINA.txt	16	0	0.027606	2000122
