ALG	DATA SET	PLEN	IT	EJECTIME	NCOM
BF	BINA.txt	4	0	0.026194	1876739
BF	BINA.txt	4	1	0.024378	1874147
BF	BINA.txt	4	2	0.024311	1874147
BF	BINA.txt	4	3	0.024254	1876739
BF	BINA.txt	4	4	0.024489	1875161
BF	BINA.txt	4	5	0.024786	1873677
BF	BINA.txt	4	6	0.025070	1876504
BF	BINA.txt	4	7	0.025248	1875161
BF	BINA.txt	4	8	0.025101	1874293
BF	BINA.txt	4	9	0.024816	1873677
BF	BINA.txt	8	0	0.026708	1993386
BF	BINA.txt	8	1	0.025877	1994339
BF	BINA.txt	8	2	0.027729	1992359
BF	BINA.txt	8	3	0.027745	1990601
BF	BINA.txt	8	4	0.025752	1990826
BF	BINA.txt	8	5	0.025812	1990655
BF	BINA.txt	8	6	0.026928	1992562
BF	BINA.txt	8	7	0.026968	1991686
BF	BINA.txt	8	8	0.026679	1991070
BF	BINA.txt	8	9	0.026757	1994501
BF	BINA.txt	16	0	0.026988	2000222
BF	BINA.txt	16	1	0.027837	1999566
BF	BINA.txt	16	2	0.025970	2002878
BF	BINA.txt	16	3	0.026023	2001741
BF	BINA.txt	16	4	0.025988	1999098
BF	BINA.txt	16	5	0.026835	1998692
BF	BINA.txt	16	6	0.027004	1999955
BF	BINA.txt	16	7	0.027050	2000046
BF	BINA.txt	16	8	0.026788	2000291
BF	BINA.txt	16	9	0.026771	1999460
BF	BINA.txt	32	0	0.027032	2000042
BF	BINA.txt	32	1	0.027416	1999614
BF	BINA.txt	32	2	0.026860	2001180
BF	BINA.txt	32	3	0.025962	1999317
BF	BINA.txt	32	4	0.026891	2000186
BF	BINA.txt	32	5	0.025968	2002543
BF	BINA.txt	32	6	0.026925	2002359
BF	BINA.txt	32	7	0.027040	2000015
BF	BINA.txt	32	8	0.027034	2000090
BF	BINA.txt	32	9	0.027886	1997933
BF	BINA.txt	64	0	0.027521	2000392
BF	BINA.txt	64	1	0.025931	1998782
BF	BINA.txt	64	2	0.027609	2000043
BF	BINA.txt	64	3	0.026003	1998623
BF	BINA.txt	64	4	0.025979	2001805
BF	BINA.txt	64	5	0.027027	2000018
BF	BINA.txt	64	6	0.027080	1999505
BF	BINA.txt	64	7	0.025970	2002886
BF	BINA.txt	64	8	0.025969	2001348
BF	BINA.txt	64	9	0.025960	1999354
BF	BINA.txt	128	0	0.026889	2000057
BF	BINA.txt	128	1	0.026784	1998975
BF	BINA.txt	128	2	0.026820	2002264
BF	BINA.txt	128	3	0.027035	1999629
BF	BINA.txt	128	4	0.027479	1998945
BF	BINA.txt	128	5	0.028355	1999206
BF	BINA.txt	128	6	0.028324	2000162
BF	BINA.txt	128	7	0.028124	1999768
BF	BINA.txt	128	8	0.025979	2002003
BF	BINA.txt	128	9	0.026859	2001367
KMP	BINA.txt	4	0	0.021748	1678839
KMP	BINA.txt	4	1	0.022854	1750611
KMP	BINA.txt	4	2	0.025471	2062693
KMP	BINA.txt	4	3	0.021721	1678839
KMP	BINA.txt	4	4	0.021726	1677793
KMP	BINA.txt	4	5	0.022845	1751375
KMP	BINA.txt	4	6	0.024157	1899033
KMP	BINA.txt	4	7	0.024842	1998814
KMP	BINA.txt	4	8	0.025456	2062696
KMP	BINA.txt	4	9	0.022607	1749135
KMP	BINA.txt	8	0	0.021863	1654669
KMP	BINA.txt	8	1	0.023009	1764697
KMP	BINA.txt	8	2	0.022813	1745969
KMP	BINA.txt	8	3	0.021908	1671074
KMP	BINA.txt	8	4	0.020865	1580072
KMP	BINA.txt	8	5	0.023025	1807877
KMP	BINA.txt	8	6	0.024806	2020079
